step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
0,0.000000000,0.000000000,0.000000000,1.100000000,0.000000000,0.000000000,0.000000000,0.000068655,0.000043157,1.100342913,0.005069927,0.003183933,0.012612731,0.586250000,0.000000000,0.000000000,0.600000000,0.067547083,0.038380178,0.800000000,0.192991665,0.109657651,1,3,0.000000000,1.390000000,0.936875000,1.000000000,0.000000000,0.000000000,0.453125000,0.453125000,0.000000000,1.289931345,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.748284578,0.050660312,1.128785133
1,0.050000000,0.000068655,0.000043157,1.100342913,0.005069927,0.003183933,0.012612731,0.001227810,0.000658577,1.101530653,0.047147142,0.021404715,0.032393947,0.600000000,-0.000038841,-0.000685825,0.600000000,-0.002358860,0.047424895,0.800000000,-0.015836550,0.099463324,1,3,0.000000000,1.391225572,0.936951598,0.999069721,-0.005188532,-0.042810882,0.407235692,0.454273974,0.000000000,1.288772190,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.716260433,-0.001725988,1.135911584
2,0.100000000,0.001227810,0.000658577,1.101530653,0.047147142,0.021404715,0.032393947,0.006316383,0.002096650,1.103841982,0.157735350,0.030663490,0.055903523,0.600000000,-0.000592719,-0.003061306,0.600000000,-0.221350478,0.060464883,0.800000000,-0.693586264,0.080202675,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.469855819,0.000000000,1.283683617,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.251285553,-0.165354282,1.146879315
3,0.150000000,0.006316383,0.002096650,1.103841982,0.157735350,0.030663490,0.055903523,0.018208349,0.002989379,1.106796444,0.308870585,0.001583321,0.060467597,0.600000000,-0.001886985,-0.007683965,0.600000000,-0.121766882,0.055237502,0.800000000,-0.435515349,-0.001902916,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.465192582,0.000000000,1.271791651,center_box,held_active,1,False,-2,2,0.000000000,0.000000000,1.554355502,-0.089228511,1.145270109
4,0.200000000,0.018208349,0.002989379,1.106796444,0.308870585,0.001583321,0.060467597,0.037852908,0.001878290,1.109489752,0.464973577,-0.041552739,0.047998400,0.600000000,-0.002690441,-0.013592889,0.600000000,0.250000000,0.052154778,0.800000000,0.709761940,-0.023750910,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.453931262,0.000000000,1.252147092,center_box,held_active,2,False,-2,2,0.000000000,0.000000000,0.945607781,0.287059993,1.145912528
5,0.250000000,0.037852908,0.001878290,1.109489752,0.464973577,-0.041552739,0.047998400,0.065509452,-0.000851963,1.111450246,0.627385999,-0.058578304,0.032096421,0.600000000,-0.001690461,-0.018979503,0.600000000,0.250000000,0.048103554,0.385789779,0.800000000,0.000300439,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.435009316,0.000000000,1.224490548,center_box,held_active,3,False,-2,2,0.000000000,0.000000000,0.512103438,0.434873551,1.145567417
6,0.300000000,0.065509452,-0.000851963,1.111450246,0.627385999,-0.058578304,0.032096421,0.100799347,-0.002948181,1.112598626,0.766137860,-0.019611249,0.016340663,0.600000000,0.000766767,-0.022900492,0.050000000,0.250000000,0.041468712,-0.800000000,0.800000000,0.026777975,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.408088123,0.000000000,1.189200653,center_box,held_active,4,False,-2,2,0.000000000,0.000000000,0.085124321,0.206757337,1.142551780
7,0.350000000,0.100799347,-0.002948181,1.112598626,0.766137860,-0.019611249,0.016340663,0.141773900,-0.001957421,1.113000589,0.858569702,0.056564179,0.001697962,0.600000000,0.002653363,-0.025197252,0.531869497,0.054037910,-0.016790348,-0.669338182,0.210426167,-0.094660032,0,-1,,,,0.000000000,0.000000000,0.000000000,,,0.000000000,1.148226100,,stale_depth,0,False,-2,2,0.000000000,0.000000000,0.499701470,0.037580252,1.100005865
8,0.400000000,0.141773900,-0.001957421,1.113000589,0.858569702,0.056564179,0.001697962,0.186543949,0.003169560,1.113139262,0.920702455,0.139239485,0.004792304,0.584653490,0.001761679,-0.026001177,0.050000000,-0.250000000,0.047471262,-0.800000000,-0.800000000,0.130780858,1,2,-0.174532925,1.270707160,0.929419197,0.982308230,0.076916642,-0.170746515,0.290362100,0.341287962,0.000000000,1.103456051,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.029459180,-0.814476073,1.148604035
9,0.450000000,0.186543949,0.003169560,1.113139262,0.920702455,0.139239485,0.004792304,0.232982376,0.011667250,1.113788196,0.923322280,0.187240652,0.020827456,0.560110446,-0.002852604,-0.026278524,0.050000000,-0.250000000,0.029159241,-0.800000000,-0.800000000,0.069619821,1,2,-0.174532925,1.214145234,0.925884077,0.991196125,0.102817989,-0.083418841,0.380631897,0.288261156,0.000000000,1.057017624,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.127567053,-0.942628384,1.135008693
