step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
0,0.000000000,0.000000000,0.000000000,1.100000000,0.000000000,0.000000000,0.000000000,0.000068655,0.000043157,1.100342913,0.005069927,0.003183933,0.012612731,0.586250000,0.000000000,0.000000000,0.600000000,0.067547083,0.038380178,0.800000000,0.192991665,0.109657651,1,3,0.000000000,1.390000000,0.936875000,1.000000000,0.000000000,0.000000000,0.453125000,0.453125000,0.000000000,1.289931345,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.748284578,0.050660312,1.128785133
1,0.050000000,0.000068655,0.000043157,1.100342913,0.005069927,0.003183933,0.012612731,0.001227810,0.000658577,1.101530653,0.047147142,0.021404715,0.032393947,0.600000000,-0.000038841,-0.000685825,0.600000000,-0.002358860,0.047424895,0.800000000,-0.015836550,0.099463324,1,3,0.000000000,1.391225572,0.936951598,0.999069721,-0.005188532,-0.042810882,0.407235692,0.454273974,0.000000000,1.288772190,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.716260433,-0.001725988,1.135911584
2,0.100000000,0.001227810,0.000658577,1.101530653,0.047147142,0.021404715,0.032393947,0.006316383,0.002096650,1.103841982,0.157735350,0.030663490,0.055903523,0.600000000,-0.000592719,-0.003061306,0.600000000,-0.221350478,0.060464883,0.800000000,-0.693586264,0.080202675,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.469855819,0.000000000,1.283683617,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.251285553,-0.165354282,1.146879315
3,0.150000000,0.006316383,0.002096650,1.103841982,0.157735350,0.030663490,0.055903523,0.018208349,0.002989379,1.106796444,0.308870585,0.001583321,0.060467597,0.600000000,-0.001886985,-0.007683965,0.600000000,-0.121766882,0.055237502,0.800000000,-0.435515349,-0.001902916,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.465192582,0.000000000,1.271791651,center_box,held_active,1,False,-2,2,0.000000000,0.000000000,1.554355502,-0.089228511,1.145270109
4,0.200000000,0.018208349,0.002989379,1.106796444,0.308870585,0.001583321,0.060467597,0.037852908,0.001878290,1.109489752,0.464973577,-0.041552739,0.047998400,0.600000000,-0.002690441,-0.013592889,0.600000000,0.250000000,0.052154778,0.800000000,0.709761940,-0.023750910,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.453931262,0.000000000,1.252147092,center_box,held_active,2,False,-2,2,0.000000000,0.000000000,0.945607781,0.287059993,1.145912528
5,0.250000000,0.037852908,0.001878290,1.109489752,0.464973577,-0.041552739,0.047998400,0.065460174,-0.000844996,1.111306884,0.625583761,-0.058413357,0.026797650,0.600000000,-0.001690461,-0.018979503,0.435009316,0.245244598,0.049360357,-0.085612175,0.800000000,0.003891305,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.435009316,0.005769179,1.224539826,center_box,held_active,3,False,-2,2,0.000000000,0.000000000,0.512103438,0.434873551,1.145567417
6,0.300000000,0.065460174,-0.000844996,1.111306884,0.625583761,-0.058413357,0.026797650,0.100669975,-0.002936367,1.112208051,0.764723889,-0.019598332,0.011698747,0.600000000,0.000760497,-0.022613768,0.050000000,0.250000000,0.040354599,-0.800000000,0.800000000,0.038734140,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.408113207,0.000000000,1.189330025,center_box,held_active,4,False,-2,2,0.000000000,0.000000000,0.089033492,0.206985950,1.141572833
7,0.350000000,0.100669975,-0.002936367,1.112208051,0.764723889,-0.019598332,0.011698747,0.141531168,-0.001947202,1.112454211,0.853169215,0.056488780,0.000263380,0.600000000,0.002642730,-0.024416102,0.531729824,0.053675274,-0.017462310,-0.665697328,0.209353159,-0.083317306,0,-1,,,,0.000000000,0.000000000,0.000000000,,,0.000000000,1.148468832,,stale_depth,0,False,-2,2,0.000000000,0.000000000,0.499467343,0.037320089,1.099111319
8,0.400000000,0.141531168,-0.001947202,1.112454211,0.853169215,0.056488780,0.000263380,0.185395958,0.003193671,1.112747720,0.890980001,0.139747974,0.011536751,0.584871949,0.001752482,-0.024908422,0.050000000,-0.250000000,0.038402511,-0.800000000,-0.800000000,0.108968944,1,2,-0.174532925,1.264029087,0.929001818,0.987689955,0.085529803,-0.130970246,0.328951236,0.335027269,0.000000000,1.104604042,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.041482013,-0.805738389,1.141256094
9,0.450000000,0.185395958,0.003193671,1.112747720,0.890980001,0.139747974,0.011536751,0.230173678,0.011692269,1.113683839,0.893611923,0.187066442,0.025632571,0.561143638,-0.002874304,-0.025495441,0.050000000,-0.250000000,0.030559949,-0.800000000,-0.800000000,0.054351992,1,2,-0.174532925,1.213781466,0.925861342,0.992438982,0.110768846,-0.052868989,0.413438213,0.287920124,0.000000000,1.059826322,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.149882346,-0.930303514,1.135667682
