step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
0,0.000000000,0.000000000,0.000000000,1.100000000,0.000000000,0.000000000,0.000000000,0.000068655,0.000043157,1.100342913,0.005069927,0.003183933,0.012612731,0.586250000,0.000000000,0.000000000,0.362500000,0.067547083,0.038380178,0.800000000,0.192991665,0.109657651,1,3,0.000000000,1.390000000,0.936875000,1.000000000,0.000000000,0.000000000,0.453125000,0.453125000,0.000000000,1.289931345,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.748284578,0.050660312,1.128785133
1,0.050000000,0.000068655,0.000043157,1.100342913,0.005069927,0.003183933,0.012612731,0.001227810,0.000658577,1.101530653,0.047147142,0.021404715,0.032393947,0.600000000,-0.000038841,-0.000685825,0.363419179,-0.002358860,0.047424895,0.800000000,-0.015836550,0.099463324,1,3,0.000000000,1.391225572,0.936951598,0.999069721,-0.005188532,-0.042810882,0.407235692,0.454273974,0.000000000,1.288772190,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.716260433,-0.001725988,1.135911584
2,0.100000000,0.001227810,0.000658577,1.101530653,0.047147142,0.021404715,0.032393947,0.006316383,0.002096650,1.103841982,0.157735350,0.030663490,0.055903523,0.600000000,-0.000592719,-0.003061306,0.375884655,-0.221350478,0.060464883,0.800000000,-0.693586264,0.080202675,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.469855819,0.000000000,1.283683617,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.251285553,-0.165354282,1.146879315
3,0.150000000,0.006316383,0.002096650,1.103841982,0.157735350,0.030663490,0.055903523,0.018192572,0.002991791,1.106743583,0.308276108,0.001689949,0.058521189,0.600000000,-0.001886985,-0.007683965,0.372154065,-0.121766882,0.055237502,0.612624900,-0.435515349,-0.001902916,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.465192582,0.000000000,1.271807428,center_box,held_active,1,False,-2,2,0.000000000,0.000000000,1.554355502,-0.089228511,1.145270109
4,0.200000000,0.018192572,0.002991791,1.106743583,0.308276108,0.001689949,0.058521189,0.037655557,0.001895931,1.109188282,0.455317713,-0.041332977,0.041541230,0.600000000,-0.002692612,-0.013487167,0.363150522,0.250000000,0.051838386,0.156784040,0.709457289,-0.019093725,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.453938153,0.000000000,1.252344443,center_box,held_active,2,False,-2,2,0.000000000,0.000000000,0.947899163,0.286003560,1.145622373
5,0.250000000,0.037655557,0.001895931,1.109188282,0.455317713,-0.041332977,0.041541230,0.063769147,-0.000914876,1.110892446,0.575116456,-0.062880422,0.028988976,0.600000000,-0.001706338,-0.018376563,0.348123582,0.250000000,0.045818060,-0.306268946,0.800000000,0.012219513,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.435154477,0.000000000,1.226230853,center_box,held_active,3,False,-2,2,0.000000000,0.000000000,0.628449678,0.455865383,1.143551826
6,0.300000000,0.063769147,-0.000914876,1.110892446,0.575116456,-0.062880422,0.028988976,0.095430565,-0.003519167,1.112273382,0.679466141,-0.035957505,0.026711156,0.600000000,0.000823388,-0.021784892,0.327771714,0.250000000,0.048058946,-0.706699262,0.800000000,0.054485627,1,3,0.000000000,1.407846207,0.937990388,0.986451634,0.014772486,-0.163385887,0.291102159,0.409714643,0.000000000,1.194569435,center_box,held_active,4,False,-2,2,0.000000000,0.000000000,0.584025085,0.270267487,1.146936655
7,0.350000000,0.095430565,-0.003519167,1.112273382,0.679466141,-0.035957505,0.026711156,0.131486390,-0.003873233,1.113628979,0.748154233,0.018929269,0.028431180,0.600000000,0.003167250,-0.024546764,0.307115918,-0.250000000,0.049330490,-0.800000000,-0.611549987,0.064626670,1,3,0.000000000,1.316154557,0.932259660,0.983599858,-0.004131582,-0.180317080,0.277213038,0.383894897,0.000000000,1.158513610,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.419536710,-0.191276997,1.149271250
8,0.400000000,0.131486390,-0.003873233,1.113628979,0.748154233,0.018929269,0.028431180,0.169258992,-0.001551393,1.115261078,0.751930223,0.065409014,0.036737696,0.593912249,0.003485910,-0.027257957,0.273635770,-0.250000000,0.029232191,-0.800000000,-0.768369339,0.002288603,1,2,-0.174532925,1.271514360,0.929469647,0.989775381,0.120748095,-0.075924912,0.387166836,0.342044712,0.000000000,1.120741008,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.468497872,-0.520230591,1.135553122
9,0.450000000,0.169258992,-0.001551393,1.115261078,0.751930223,0.065409014,0.036737696,0.205882551,0.002063616,1.117254224,0.712489307,0.072340848,0.042347476,0.575666908,0.001396254,-0.030522157,0.237024952,-0.250000000,0.017039616,-0.800000000,-0.800000000,-0.056280229,1,3,0.000000000,1.222699936,0.926418746,0.998397868,-0.013097689,0.055046785,0.526680863,0.296281190,0.000000000,1.084117449,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.819198787,-0.338441104,1.128040791
10,0.500000000,0.205882551,0.002063616,1.117254224,0.712489307,0.072340848,0.042347476,0.240277030,0.005350697,1.119321010,0.669139296,0.059971030,0.040642435,0.558455704,-0.001857255,-0.034508447,0.211893277,-0.194968401,0.020532494,-0.800000000,-0.763740712,-0.062328521,1,3,0.000000000,1.189191036,0.924324440,0.995733582,0.008634658,0.091869892,0.572530609,0.264866596,0.000000000,1.049722970,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.067943692,-0.144162685,1.132653594
11,0.550000000,0.240277030,0.005350697,1.119321010,0.669139296,0.059971030,0.040642435,0.273089867,0.008165446,1.121241467,0.648051397,0.053264411,0.036634946,0.543250673,-0.004815627,-0.038642019,0.189470714,-0.225825572,0.029517941,-0.800000000,-0.800000000,-0.031784271,1,2,-0.174532925,1.159294286,0.922455893,0.991743843,0.115140264,0.056452370,0.538936062,0.236838393,0.000000000,1.016910133,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.069422007,-0.164018482,1.141459465
12,0.600000000,0.273089867,0.008165446,1.121241467,0.648051397,0.053264411,0.036634946,0.304906600,0.010312652,1.123014920,0.622352831,0.028744715,0.033987198,0.529469120,-0.007348901,-0.042482933,0.179078950,-0.174752847,0.029958703,-0.800000000,-0.651477880,-0.019074978,1,2,-0.174532925,1.119243436,0.895394749,0.997915286,0.056246999,0.031644242,0.532309357,0.223848687,0.000000000,0.985093400,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.791487694,-0.122899190,1.143710494
13,0.650000000,0.304906600,0.010312652,1.123014920,0.622352831,0.028744715,0.033987198,0.334500001,0.010037767,1.124426740,0.561640063,-0.041229849,0.021862359,0.516584060,-0.009281387,-0.046029839,0.175196917,0.130297971,0.004634867,-0.800000000,0.290152160,-0.083863802,1,2,-0.174532925,1.094980729,0.875984583,0.990970317,0.083874873,0.104608011,0.639490865,0.218996146,0.000000000,0.955499999,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.877523601,0.108036131,1.126491070
14,0.700000000,0.334500001,0.010037767,1.124426740,0.561640063,-0.041229849,0.021862359,0.360713699,0.005426294,1.124890681,0.494564343,-0.136669237,-0.001369375,0.505699999,-0.009033991,-0.048853480,0.170719050,0.250000000,0.001142002,-0.800000000,0.800000000,-0.059201022,1,3,0.000000000,1.066994063,0.853595250,0.989227622,0.000754062,0.146383548,0.708900598,0.213398813,0.000000000,0.929286301,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.221853971,0.728217959,1.125283241
