step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
0,0.000000000,0.000000000,0.000000000,1.100000000,0.000000000,0.000000000,0.000000000,0.000067652,-0.000067044,1.100348162,0.005002555,-0.004941115,0.012789538,0.586250000,0.000000000,0.000000000,0.600000000,-0.250000000,0.037484360,0.800000000,-0.714285714,0.107098171,1,3,0.000000000,1.390000000,1.112000000,1.000000000,0.000000000,0.000000000,0.278000000,0.278000000,0.000000000,1.289932348,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.687108517,-3.612753630,1.128113270
1,0.050000000,0.000067652,-0.000067044,1.100348162,0.005002555,-0.004941115,0.012789538,0.001209097,-0.001045752,1.101413453,0.046396362,-0.035293494,0.027596189,0.600000000,0.000060340,-0.000696324,0.600000000,-0.250000000,0.026380158,0.800000000,-0.700168242,0.038830345,1,3,0.000000000,1.391398418,1.113118735,0.998946333,0.018889359,-0.041826013,0.232322822,0.278279684,0.000000000,1.288790903,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.598500729,-3.543349266,1.120133281
2,0.100000000,0.001209097,-0.001045752,1.101413453,0.046396362,-0.035293494,0.027596189,0.006224666,-0.003829892,1.103490205,0.155349206,-0.070681183,0.051485328,0.600000000,0.000941177,-0.002826906,0.600000000,-0.250000000,0.052135833,0.800000000,-0.613447160,0.070113267,1,3,0.000000000,1.407115334,1.125692267,0.986977307,0.010369500,-0.160524977,0.105801205,0.281423067,0.000000000,1.283775334,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.188328028,-3.274516821,1.140515327
3,0.150000000,0.006224666,-0.003829892,1.103490205,0.155349206,-0.070681183,0.051485328,0.017858467,-0.007735947,1.106140831,0.300832760,-0.081351679,0.053558349,0.600000000,0.003446903,-0.006980410,0.600000000,-0.250000000,0.040990390,0.800000000,-0.512339477,-0.029985536,1,3,0.000000000,1.407115334,1.125692267,0.986977307,0.010369500,-0.160524977,0.105801205,0.276835054,0.000000000,1.272141533,center_box,held_active,1,False,-2,2,0.000000000,0.000000000,1.347408175,-3.180856228,1.134232998
4,0.200000000,0.017858467,-0.007735947,1.106140831,0.300832760,-0.081351679,0.053558349,0.036880541,-0.012030912,1.108402413,0.449798852,-0.092913448,0.037440310,0.600000000,0.006962353,-0.012281663,0.600000000,-0.250000000,0.023893066,0.800000000,-0.481852346,-0.084757951,1,3,0.000000000,1.407115334,1.125692267,0.986977307,0.010369500,-0.160524977,0.105801205,0.265818752,0.000000000,1.253119459,center_box,held_active,2,False,-2,2,0.000000000,0.000000000,0.734657764,-3.245060205,1.124060631
5,0.250000000,0.036880541,-0.012030912,1.108402413,0.449798852,-0.092913448,0.037440310,0.063955752,-0.017650989,1.109546866,0.622225939,-0.132730906,0.009054281,0.600000000,0.010827821,-0.016804826,0.447406069,-0.250000000,0.020496472,-0.006836523,-0.448818720,-0.048410968,1,3,0.000000000,1.407115334,1.125692267,0.986977307,0.010369500,-0.160524977,0.105801205,0.247451974,0.000000000,1.226044248,center_box,held_active,3,False,-2,2,0.000000000,0.000000000,0.372435093,-3.095903158,1.123774767
6,0.300000000,0.063955752,-0.017650989,1.109546866,0.622225939,-0.132730906,0.009054281,0.099756626,-0.025614893,1.109100264,0.791877705,-0.180238087,-0.022728320,0.600000000,0.015885890,-0.019093732,0.050000000,-0.250000000,0.024780795,-0.800000000,-0.335054553,0.044932897,1,3,0.000000000,1.407115334,1.125692267,0.986977307,0.010369500,-0.160524977,0.105801205,0.220971345,0.000000000,1.190243374,center_box,held_active,4,False,-2,2,0.000000000,0.000000000,-0.255219609,-2.739381313,1.128132463
7,0.350000000,0.099756626,-0.025614893,1.109100264,0.791877705,-0.180238087,-0.022728320,0.143023758,-0.035405404,1.107289798,0.918479423,-0.205628530,-0.044956364,0.600000000,0.023053404,-0.018200528,0.503800674,0.050181231,-0.042871689,-0.800000000,0.658340909,-0.057552485,0,-1,,,,0.000000000,0.000000000,0.000000000,,,0.000000000,1.146976242,,stale_depth,0,False,-2,2,0.000000000,0.000000000,0.477607131,0.012021030,1.076946497
8,0.400000000,0.143023758,-0.035405404,1.107289798,0.918479423,-0.205628530,-0.044956364,0.190944752,-0.046215117,1.106149257,0.979510894,-0.226945619,-0.002622309,0.583528618,0.031864863,-0.014579597,0.050000000,-0.250000000,0.036016455,-0.800000000,-0.126775628,0.231350912,1,2,-0.174532925,1.275152352,1.020121882,0.977903731,0.115363042,-0.174343517,0.197760664,0.255030470,0.000000000,1.099071356,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.606419325,-2.927472591,1.134302139
9,0.450000000,0.190944752,-0.046215117,1.106149257,0.979510894,-0.226945619,-0.002622309,0.239906116,-0.058649852,1.106798884,0.971640121,-0.270364197,0.025880147,0.556149723,0.041593605,-0.012298515,0.050000000,-0.250000000,-0.007459880,-0.800000000,-0.065869659,-0.013821633,1,2,-0.174532925,1.205637691,0.964510153,0.994540281,0.101816703,-0.022868927,0.401027868,0.241127538,0.000000000,1.050245087,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.297575474,-2.700706244,1.100554347
10,0.500000000,0.239906116,-0.058649852,1.106798884,0.971640121,-0.270364197,0.025880147,0.287550715,-0.073416825,1.108145351,0.932821595,-0.314119024,0.027715972,0.527834496,0.052784866,-0.013597768,0.050000000,-0.250000000,-0.004484331,-0.800000000,0.058183419,-0.086755651,1,2,-0.174532925,1.172157236,0.937725789,0.981177140,0.180558537,0.068483831,0.535029941,0.234431447,0.000000000,1.002955624,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.012014162,-2.338590622,1.103435636
11,0.550000000,0.287550715,-0.073416825,1.108145351,0.932821595,-0.314119024,0.027715972,0.332412962,-0.089738777,1.109353597,0.862835290,-0.333827282,0.020711856,0.500704356,0.066075142,-0.016290703,0.050000000,-0.250000000,-0.004127973,-0.800000000,0.183197210,-0.090982700,1,3,0.000000000,1.114016919,0.891213535,0.989616285,0.083063079,0.117303597,0.631259463,0.222803384,0.000000000,0.958756011,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.214353591,-2.151957035,1.105049372
12,0.600000000,0.332412962,-0.089738777,1.109353597,0.862835290,-0.333827282,0.020711856,0.373312739,-0.106851024,1.110068237,0.780815393,-0.351991524,0.008867647,0.476078335,0.080764899,-0.018707194,0.338014678,-0.250000000,-0.009079052,-0.800000000,0.239506520,-0.085116882,1,3,0.000000000,1.075077738,0.860062190,0.983730758,0.069819770,0.165526417,0.719382187,0.215015548,0.000000000,0.918882744,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.585923970,-2.268483162,1.102544308
13,0.650000000,0.373312739,-0.106851024,1.110068237,0.780815393,-0.351991524,0.008867647,0.410460541,-0.125589443,1.110148964,0.712331174,-0.398128032,-0.004723057,0.455018535,0.096165922,-0.020136473,0.534568036,-0.250000000,-0.005506244,-0.703563878,0.291404355,-0.041068260,1,2,-0.174532925,1.039877595,0.831902076,0.977698977,0.142084383,0.154650373,0.729453607,0.207975519,0.000000000,0.883271633,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.774238765,-2.098830938,1.105938554
14,0.700000000,0.410460541,-0.125589443,1.110148964,0.712331174,-0.398128032,-0.004723057,0.444112788,-0.146997694,1.109509194,0.636217400,-0.451683341,-0.019976924,0.437335513,0.113030498,-0.020297929,0.358031896,-0.250000000,-0.008165436,-0.800000000,0.423222949,-0.009835369,1,1,-0.349065850,1.017659953,0.814127962,0.962541029,0.219064564,0.159766966,0.748470037,0.203531991,0.000000000,0.851919705,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.678984463,-1.608018517,1.104024887
15,0.750000000,0.444112788,-0.146997694,1.109509194,0.636217400,-0.451683341,-0.019976924,0.473110470,-0.170407579,1.108283773,0.528608475,-0.474610218,-0.028794352,0.422798491,0.132297925,-0.019018388,0.595013604,-0.250000000,-0.011502059,-0.117725129,0.576238117,0.024213900,1,1,-0.349065850,0.989274210,0.791419368,0.956142596,0.207648636,0.206575360,0.821163386,0.197854842,0.000000000,0.826116919,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.890372992,-1.335125923,1.100882649
16,0.800000000,0.473110470,-0.170407579,1.108283773,0.528608475,-0.474610218,-0.028794352,0.496325134,-0.193423998,1.106877769,0.411421633,-0.440227650,-0.027722758,0.412450577,0.153366821,-0.016567545,0.600000000,-0.250000000,-0.010710418,0.203975785,0.641743481,0.051668383,1,1,-0.349065850,0.983115508,0.786492406,0.932636626,0.288004907,0.217352473,0.829673254,0.196623102,0.000000000,0.806748967,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.307944894,-1.453878760,1.100250959
17,0.850000000,0.496325134,-0.193423998,1.106877769,0.411421633,-0.440227650,-0.027722758,0.514274257,-0.213673003,1.105757094,0.322274173,-0.373575770,-0.016819337,0.407307379,0.174081598,-0.013755538,0.600000000,-0.250000000,-0.002741450,0.538795335,0.543507573,0.071375168,1,2,-0.174532925,0.925934300,0.740747440,0.965160126,0.188521426,0.181454135,0.828603070,0.185186860,0.000000000,0.792780986,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.586999774,-1.861455798,1.104821682
18,0.900000000,0.514274257,-0.213673003,1.105757094,0.322274173,-0.373575770,-0.016819337,0.529506770,-0.230561036,1.105751547,0.304403923,-0.307745003,0.014480389,0.406903168,0.192305703,-0.011514188,0.600000000,-0.250000000,0.023466618,0.793502364,0.353073630,0.115102729,1,1,-0.349065850,0.927378562,0.741902849,0.944302337,0.324923961,0.052129808,0.659321522,0.185475712,0.000000000,0.781341085,center_box,active,0,False,-2,2,0.000000000,0.000000000,1.585974455,-2.129931450,1.123357058
19,0.950000000,0.529506770,-0.230561036,1.105751547,0.304403923,-0.307745003,0.014480389,0.546750993,-0.243763674,1.107427353,0.394999961,-0.220400784,0.045724169,0.408943907,0.207504933,-0.011503094,0.600000000,-0.250000000,0.043428855,0.800000000,0.164985722,0.082709902,1,1,-0.349065850,0.908650366,0.726920293,0.947001467,0.293417675,-0.130745129,0.470951449,0.181730073,0.000000000,0.767518601,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.985258520,-2.104005098,1.138323188
20,1.000000000,0.546750993,-0.243763674,1.107427353,0.394999961,-0.220400784,0.045724169,0.570492558,-0.251350565,1.108829333,0.549364381,-0.085255135,0.008193884,0.409174106,0.219387306,-0.014854706,0.050000000,-0.250000000,0.028905399,-0.800000000,-0.084569188,-0.048053628,1,1,-0.349065850,0.908650366,0.726920293,0.947001467,0.293417675,-0.130745129,0.470951449,0.169492759,0.000000000,0.746322344,center_box,held_active,1,False,-2,2,0.000000000,0.000000000,-0.058699928,-2.439384222,1.129106402
21,1.050000000,0.570492558,-0.251350565,1.108829333,0.549364381,-0.085255135,0.008193884,0.602528419,-0.251322393,1.106893836,0.719754242,0.075897776,-0.080257633,0.403556698,0.226215508,-0.017658666,0.050000000,-0.250000000,0.015670838,-0.800000000,-0.470699613,0.021362724,1,1,-0.349065850,0.908650366,0.726920293,0.947001467,0.293417675,-0.130745129,0.470951449,0.149418893,0.000000000,0.715333456,center_box,held_active,2,False,-2,2,0.000000000,0.000000000,-0.832425296,-3.161065340,1.120582461
22,1.100000000,0.602528419,-0.251322393,1.106893836,0.719754242,0.075897776,-0.080257633,0.643275482,-0.242952562,1.100698531,0.893242262,0.242556427,-0.159023365,0.390474422,0.226190154,-0.013787672,0.050000000,-0.250000000,-0.011546372,-0.800000000,-0.800000000,0.196317890,1,1,-0.349065850,0.908650366,0.726920293,0.947001467,0.293417675,-0.130745129,0.470951449,0.118819562,0.000000000,0.673813446,center_box,held_active,3,False,-2,2,0.000000000,0.000000000,-1.341133237,-3.756482363,1.098234057
