step,t,k,x,y,z,vx,vy,vz
0,0.000000000,0,0.000000000,0.000000000,1.100000024,0.000000000,0.000000000,0.000000000
0,0.000000000,1,0.000042546,-0.000079648,1.100183010,0.008607884,-0.015909884,0.018297456
0,0.000000000,2,0.000695863,-0.001265679,1.100704551,0.070715941,-0.126224250,0.033851601
0,0.000000000,3,0.003609571,-0.006316801,1.101512671,0.243186653,-0.413778633,0.046959084
0,0.000000000,4,0.011413452,-0.019303435,1.102560639,0.563874364,-0.923843026,0.057837673
0,0.000000000,5,0.027229782,-0.044784881,1.103805661,1.044398189,-1.661245942,0.066663496
0,0.000000000,6,0.054187573,-0.087098315,1.105208158,1.674978495,-2.601026058,0.073590465
0,0.000000000,7,0.095066093,-0.149883464,1.106731653,2.431590796,-3.700226068,0.078759789
0,0.000000000,8,0.152074575,-0.235820770,1.108342409,3.282167196,-4.907189846,0.082305841
0,0.000000000,9,0.226739541,-0.346525729,1.110009074,4.191129684,-6.167937279,0.084358923
0,0.000000000,10,0.319867045,-0.482545912,1.111703157,5.122419357,-7.430173874,0.085046381
0,0.000000000,11,0.431553751,-0.643420279,1.113398552,6.041393280,-8.645619392,0.084493637
0,0.000000000,12,0.561227441,-0.827773094,1.115071774,6.915952206,-9.771235466,0.082824364
0,0.000000000,13,0.707704604,-1.033425212,1.116701722,7.717156887,-10.769756317,0.080160946
0,0.000000000,14,0.869257629,-1.257511020,1.118269563,8.419530869,-11.609813690,0.076624647
0,0.000000000,15,1.043684721,-1.496595979,1.119759083,9.001172066,-12.265811920,0.072335362
0,0.000000000,16,1.228381872,-1.746789217,1.121156573,9.443750381,-12.717684746,0.067411892
0,0.000000000,17,1.420413971,-2.003851175,1.122450471,9.732467651,-12.950606346,0.061971635
0,0.000000000,18,1.616584778,-2.263296127,1.123631477,9.856001854,-12.954716682,0.056130502
0,0.000000000,19,1.813506484,-2.520488739,1.124692798,9.806520462,-12.724936485,0.050002377
0,0.000000000,20,2.007670164,-2.770740509,1.125629783,9.579816818,-12.260974884,0.043697841
0,0.000000000,21,2.195522547,-3.009407043,1.126439929,9.175736427,-11.567702293,0.037322249
0,0.000000000,22,2.373554707,-3.232000828,1.127122879,8.599127769,-10.656229019,0.030971108
0,0.000000000,23,2.538420200,-3.434338093,1.127679825,7.861817837,-9.546301842,0.024722427
0,0.000000000,24,2.687108517,-3.612753630,1.128113270,6.986508369,-8.271224976,0.018620763
1,0.050000000,0,0.000067652,-0.000067044,1.100348115,0.005002555,-0.004941115,0.012789537
1,0.050000000,1,0.000350045,-0.000387282,1.100551605,0.032336079,-0.040006615,0.007562865
1,0.050000000,2,0.001995994,-0.002597778,1.100601912,0.153313205,-0.212120116,-0.002535852
1,0.050000000,3,0.007433229,-0.010288098,1.100652933,0.416296750,-0.595480621,0.007633778
1,0.050000000,4,0.019684421,-0.027957877,1.100993276,0.834773302,-1.209856987,0.026394062
1,0.050000000,5,0.041795757,-0.060104065,1.101715207,1.399290442,-2.037965536,0.045803808
1,0.050000000,6,0.076468602,-0.110632248,1.102731824,2.086216688,-3.040280342,0.055851951
1,0.050000000,7,0.125855535,-0.182540566,1.103862047,2.865272284,-4.167193413,0.057178821
1,0.050000000,8,0.191470325,-0.277793676,1.104978681,3.703331470,-5.365834236,0.054480474
1,0.050000000,9,0.274157941,-0.397303879,1.106031299,4.567011356,-6.584420681,0.050787315
1,0.050000000,10,0.374108046,-0.540981710,1.107018709,5.424381256,-7.774882793,0.047951251
1,0.050000000,11,0.490894914,-0.707825541,1.107968688,6.245944977,-8.894235611,0.047045093
1,0.050000000,12,0.623531759,-0.896030486,1.108925700,7.005176067,-9.905192375,0.048649523
1,0.050000000,13,0.770533264,-1.103104353,1.109928846,7.678729057,-10.776284218,0.051666968
1,0.050000000,14,0.929977775,-1.325980902,1.111002326,8.246289253,-11.481522560,0.055678017
1,0.050000000,15,1.099566460,-1.561126471,1.112134695,8.690488815,-12.000091553,0.057558443
1,0.050000000,16,1.276685715,-1.804642916,1.113276005,8.997247696,-12.316440582,0.056572039
1,0.050000000,17,1.458473563,-2.052372932,1.114385009,9.155807495,-12.420080185,0.054326851
1,0.050000000,18,1.641884208,-2.299995899,1.115442276,9.158453941,-12.305082321,0.051389128
1,0.050000000,19,1.823746324,-2.543115139,1.116435170,9.000423431,-11.969776154,0.047891129
1,0.050000000,20,2.000824451,-2.777343273,1.117353797,8.680050850,-11.416749001,0.043964379
1,0.050000000,21,2.169883728,-2.998388767,1.118190765,8.199193001,-10.653185844,0.039737124
1,0.050000000,22,2.327769279,-3.202158451,1.118951797,7.564197540,-9.691896439,0.036366951
1,0.050000000,23,2.471513271,-3.384889364,1.119649410,6.787960052,-8.553684235,0.033404935
1,0.050000000,24,2.598500729,-3.543349266,1.120133281,5.893613815,-7.271841526,0.014988234
2,0.100000000,0,0.001209097,-0.001045752,1.101413488,0.046396364,-0.035293493,0.027596189
2,0.100000000,1,0.002609798,-0.001981621,1.101956367,0.107351035,-0.066270821,0.026689501
2,0.100000000,2,0.006405246,-0.004318120,1.102433801,0.299192160,-0.190266430,0.021047410
2,0.100000000,3,0.015660873,-0.010733767,1.103123188,0.652903616,-0.484427303,0.047887117
2,0.100000000,4,0.033472747,-0.025091780,1.104321957,1.149694800,-0.987431347,0.071990274
2,0.100000000,5,0.062362954,-0.051610406,1.105980396,1.754325390,-1.697488785,0.093851678
2,0.100000000,6,0.104110152,-0.094172560,1.107939005,2.429274797,-2.585371733,0.102000527
2,0.100000000,7,0.159772947,-0.155916288,1.109977245,3.140488863,-3.607644320,0.101825006
2,0.100000000,8,0.229770586,-0.239040568,1.111983299,3.858041048,-4.714929581,0.098780811
2,0.100000000,9,0.313962966,-0.344743729,1.113933086,4.555876255,-5.857254982,0.096196815
2,0.100000000,10,0.411725104,-0.473247349,1.115854979,5.211507320,-6.987339020,0.096000031
2,0.100000000,11,0.522015452,-0.623870194,1.117794514,5.805701256,-8.062379837,0.097959049
2,0.100000000,12,0.643436670,-0.795126021,1.119789481,6.322040081,-9.044725418,0.101531431
2,0.100000000,13,0.774287701,-0.984828115,1.121873975,6.746496201,-9.901958466,0.106913298
2,0.100000000,14,0.912608683,-1.190192938,1.124046326,7.067248821,-10.606864929,0.110320590
2,0.100000000,15,1.056228280,-1.407947421,1.126246810,7.275010109,-11.137709618,0.109719075
2,0.100000000,16,1.202816010,-1.634438634,1.128400922,7.363173008,-11.478234291,0.105684660
2,0.100000000,17,1.349934697,-1.865740180,1.130455136,7.327589035,-11.617235184,0.099731348
2,0.100000000,18,1.495085835,-2.097747087,1.132379770,7.166267395,-11.548033714,0.092737429
2,0.100000000,19,1.635751843,-2.326264143,1.134156108,6.879256725,-11.268169403,0.084891833
2,0.100000000,20,1.769437313,-2.547088385,1.135768890,6.468775749,-10.779371262,0.076393612
2,0.100000000,21,1.893715501,-2.756094694,1.137213349,5.939592361,-10.087895393,0.068046525
2,0.100000000,22,2.006287813,-2.949338198,1.138518810,5.299990177,-9.205652237,0.062500156
2,0.100000000,23,2.105071545,-3.123186827,1.139693856,4.563602448,-8.152614594,0.055007953
2,0.100000000,24,2.188328028,-3.274516821,1.140515327,3.751633644,-6.960419655,0.027141413
3,0.150000000,0,0.006224666,-0.003829892,1.103490233,0.155349210,-0.070681185,0.051485330
3,0.150000000,1,0.009960937,-0.005333476,1.104324698,0.226632923,-0.081905752,0.031959750
3,0.150000000,2,0.015847072,-0.007373284,1.104780436,0.378558010,-0.135897651,0.013618698
3,0.150000000,3,0.025757935,-0.011626286,1.105412126,0.628318369,-0.317439854,0.049538635
3,0.150000000,4,0.041532099,-0.021358687,1.106687665,0.961191118,-0.691014826,0.078013711
3,0.150000000,5,0.064594038,-0.040680386,1.108393908,1.352840304,-1.276458144,0.092599429
3,0.150000000,6,0.095875166,-0.073730707,1.110238791,1.779278398,-2.059382439,0.091882467
3,0.150000000,7,0.135854870,-0.124131784,1.111999989,2.219370127,-3.004420519,0.084243484
3,0.150000000,8,0.184618279,-0.194674745,1.113596678,2.654764891,-4.065281868,0.075421982
3,0.150000000,9,0.241908625,-0.287176639,1.115038872,3.069572210,-5.191813946,0.068793751
3,0.150000000,10,0.307173669,-0.402452350,1.116386056,3.450094938,-6.334538460,0.065919891
3,0.150000000,11,0.379607111,-0.540357411,1.117715597,3.784582376,-7.447327614,0.067032374
3,0.150000000,12,0.458184779,-0.699869215,1.119099140,4.062930584,-8.488601685,0.071326546
3,0.150000000,13,0.541693807,-0.879182458,1.120589137,4.276338100,-9.421713829,0.077673130
3,0.150000000,14,0.628758669,-1.075811267,1.122154236,4.417454243,-10.215378761,0.078841552
3,0.150000000,15,0.717878461,-1.286704659,1.123727202,4.481118202,-10.844412804,0.078457646
3,0.150000000,16,0.807467163,-1.508364677,1.125278592,4.463896751,-11.289130211,0.076679714
3,0.150000000,17,0.895885229,-1.736950159,1.126782179,4.363855839,-11.534894943,0.073674589
3,0.150000000,18,0.981469095,-1.968375564,1.128215194,4.180519104,-11.571846008,0.069617808
3,0.150000000,19,1.062560439,-2.198404074,1.129558325,3.914895058,-11.394701004,0.064693287
3,0.150000000,20,1.137536526,-2.422739029,1.130796194,3.569608450,-11.002739906,0.059092667
3,0.150000000,21,1.204846263,-2.637116671,1.131917238,3.149217844,-10.400135040,0.053013261
3,0.150000000,22,1.263053775,-2.837413549,1.132913947,2.660868168,-9.596938133,0.046654571
3,0.150000000,23,1.310901880,-3.019782782,1.133775949,2.115560532,-8.611327171,0.039553516
3,0.150000000,24,1.347408175,-3.180856228,1.134232998,1.530126214,-7.473858356,0.006159272
4,0.200000000,0,0.017858466,-0.007735948,1.106140852,0.300832748,-0.081351675,0.053558350
4,0.200000000,1,0.024485840,-0.009483463,1.106828094,0.364315778,-0.100514933,0.015171468
4,0.200000000,2,0.032607038,-0.012321667,1.106814146,0.453430861,-0.204740316,-0.016556893
4,0.200000000,3,0.042858515,-0.018769292,1.106801748,0.577723563,-0.472245842,0.015316490
4,0.200000000,4,0.055937748,-0.032579880,1.107435822,0.735335708,-0.944320083,0.048084747
4,0.200000000,5,0.072447933,-0.057905469,1.108528376,0.919456363,-1.621123791,0.061172824
4,0.200000000,6,0.092835642,-0.098608233,1.109742284,1.121608377,-2.476089716,0.060219374
4,0.200000000,7,0.117373817,-0.157859340,1.110872149,1.333017349,-3.468358278,0.052771416
4,0.200000000,8,0.146159723,-0.237938225,1.111830354,1.544904232,-4.550669193,0.043042827
4,0.200000000,9,0.179115996,-0.340159148,1.112605810,1.748625278,-5.674467564,0.034509920
4,0.200000000,10,0.215996251,-0.464881092,1.113237739,1.935968399,-6.793197155,0.028681207
4,0.200000000,11,0.256395876,-0.611568153,1.113789439,2.099345684,-7.864154339,0.026491014
4,0.200000000,12,0.299765766,-0.778877020,1.114335895,2.231896639,-8.849398613,0.028157188
4,0.200000000,13,0.345426768,-0.964756131,1.114950895,2.327489853,-9.716062546,0.033342510
4,0.200000000,14,0.392584860,-1.166547894,1.115675688,2.380791903,-10.436429977,0.039129175
4,0.200000000,15,0.440349847,-1.381093383,1.116515279,2.387555599,-10.988074303,0.044831932
4,0.200000000,16,0.487757921,-1.604836583,1.117443442,2.344698429,-11.353702545,0.047977649
4,0.200000000,17,0.533797204,-1.833926320,1.118418694,2.250490427,-11.521064758,0.049548049
4,0.200000000,18,0.577433527,-2.064313650,1.119411588,2.104413986,-11.482546806,0.049734864
4,0.200000000,19,0.617634058,-2.291841269,1.120396376,1.907131910,-11.234897614,0.048740275
4,0.200000000,20,0.653391957,-2.512330055,1.121351480,1.660606265,-10.779201508,0.046776257
4,0.200000000,21,0.683754921,-2.721667767,1.122262120,1.368404627,-10.121236801,0.044281151
4,0.200000000,22,0.707862854,-2.915913820,1.123114347,1.036313534,-9.272515297,0.040940702
4,0.200000000,23,0.725000083,-3.091429234,1.123821139,0.673078418,-8.252228737,0.029735891
4,0.200000000,24,0.734657764,-3.245060205,1.124060631,0.290664971,-7.090262890,-0.005782159
5,0.250000000,0,0.036880542,-0.012030913,1.108402371,0.449798852,-0.092913449,0.037440311
5,0.250000000,1,0.046619318,-0.014205485,1.108765721,0.531277895,-0.137316853,-0.001090217
5,0.250000000,2,0.058582436,-0.018431043,1.108440995,0.676864684,-0.315107942,-0.031370744
5,0.250000000,3,0.074076042,-0.028150493,1.108112097,0.879496515,-0.692624807,-0.001521068
5,0.250000000,4,0.093913570,-0.047533002,1.108450770,1.105165839,-1.279470563,0.035376526
5,0.250000000,5,0.118212312,-0.080546655,1.109327316,1.320735812,-2.049527407,0.052276790
5,0.250000000,6,0.146519154,-0.130445719,1.110379934,1.502960682,-2.960167408,0.052980509
5,0.250000000,7,0.178021476,-0.199565679,1.111366510,1.638771534,-3.963429928,0.045674995
5,0.250000000,8,0.211723194,-0.289277285,1.112180710,1.722372293,-5.011442661,0.035741568
5,0.250000000,9,0.246562123,-0.400019646,1.112803221,1.752563715,-6.059259892,0.026513353
5,0.250000000,10,0.281482130,-0.531375229,1.113267899,1.730901003,-7.066331387,0.019960579
5,0.250000000,11,0.315475464,-0.682165265,1.113639235,1.660514712,-7.997150898,0.017173318
5,0.250000000,12,0.347606361,-0.850552976,1.113997221,1.545365572,-8.821400642,0.018630343
5,0.250000000,13,0.377022296,-1.034145713,1.114424109,1.389760733,-9.513811111,0.024058174
5,0.250000000,14,0.402958125,-1.230094552,1.114975095,1.198113799,-10.053942680,0.031045999
5,0.250000000,15,0.424738497,-1.435188890,1.115674853,0.974995673,-10.426086426,0.038924642
5,0.250000000,16,0.441780388,-1.645948648,1.116521239,0.725066483,-10.618943214,0.045712676
5,0.250000000,17,0.453595668,-1.858710527,1.117474675,0.453181505,-10.625452995,0.049630754
5,0.250000000,18,0.459796667,-2.069711447,1.118486404,0.164553553,-10.442673683,0.051542733
5,0.250000000,19,0.460104197,-2.275168896,1.119524598,-0.135170072,-10.071616173,0.052279029
5,0.250000000,20,0.454357356,-2.471360207,1.120579839,-0.439783305,-9.517242432,0.053242750
5,0.250000000,21,0.442525595,-2.654702902,1.121639013,-0.742450178,-8.788639069,0.052673183
5,0.250000000,22,0.424721718,-2.821841240,1.122646809,-1.035669208,-7.899620533,0.048103433
5,0.250000000,23,0.401214868,-2.969754934,1.123464584,-1.311362624,-6.870147228,0.033681974
5,0.250000000,24,0.372435093,-3.095903158,1.123774767,-1.561806440,-5.728786469,-0.002664667
6,0.300000000,0,0.063955754,-0.017650990,1.109546900,0.622225940,-0.132730901,0.009054282
6,0.300000000,1,0.077136002,-0.020641612,1.109339952,0.696834326,-0.173592269,-0.029736392
6,0.300000000,2,0.091887027,-0.025157629,1.108501315,0.778889775,-0.298425734,-0.054126218
6,0.300000000,3,0.108247951,-0.033583786,1.107879281,0.854358196,-0.572957635,-0.008080896
6,0.300000000,4,0.125877768,-0.049268421,1.108065248,0.902307153,-1.025689840,0.026674673
6,0.300000000,5,0.144037500,-0.075740367,1.108745575,0.905029953,-1.648082256,0.041362755
6,0.300000000,6,0.161719456,-0.116123125,1.109587908,0.853803635,-2.410803556,0.042868797
6,0.300000000,7,0.177826539,-0.172843814,1.110411882,0.747921646,-3.274877071,0.039530821
6,0.300000000,8,0.191302881,-0.247507185,1.111158729,0.591744065,-4.197872639,0.035158649
6,0.300000000,9,0.201209694,-0.340869606,1.111830950,0.392275363,-5.137908936,0.032064751
6,0.300000000,10,0.206761166,-0.452876031,1.112469554,0.157612875,-6.056020737,0.031795111
6,0.300000000,11,0.207336575,-0.582731843,1.113146663,-0.103937276,-6.917333126,0.035916705
6,0.300000000,12,0.202479422,-0.728989244,1.113953233,-0.384331167,-7.691414356,0.044734851
6,0.300000000,13,0.191887870,-0.889636099,1.114979625,-0.676212251,-8.352233887,0.057899587
6,0.300000000,14,0.175398678,-1.062182903,1.116219044,-0.972979724,-8.878171921,0.066037446
6,0.300000000,15,0.152981818,-1.243759155,1.117566466,-1.267788053,-9.252875328,0.068709970
6,0.300000000,16,0.124747500,-1.431219459,1.118947625,-1.553542376,-9.465022087,0.069398075
6,0.300000000,17,0.090945192,-1.621234298,1.120326757,-1.823488116,-9.507431030,0.068516605
6,0.300000000,18,0.051954549,-1.810367942,1.121674538,-2.071355104,-9.376627922,0.066260770
6,0.300000000,19,0.008276051,-1.995150805,1.122966766,-2.291324854,-9.072639465,0.062963985
6,0.300000000,20,-0.039477307,-2.172147989,1.124194026,-2.477936268,-8.598975182,0.059756748
6,0.300000000,21,-0.090584971,-2.338033199,1.125371099,-2.625843048,-7.963043213,0.057949986
6,0.300000000,22,-0.144218087,-2.489674568,1.126521349,-2.729527473,-7.177167416,0.057085373
6,0.300000000,23,-0.199437350,-2.624248505,1.127548814,-2.783695459,-6.260054111,0.045664415
6,0.300000000,24,-0.255219609,-2.739381313,1.128132463,-2.785843611,-5.238376617,0.012705371
7,0.350000000,0,0.099756628,-0.025614893,1.109100223,0.791877687,-0.180238083,-0.022728320
7,0.350000000,1,0.116170995,-0.029337464,1.108025789,0.846265912,-0.189084575,-0.084709078
7,0.350000000,2,0.133426785,-0.033013016,1.105793834,0.874974430,-0.174393430,-0.138480976
7,0.350000000,3,0.151039794,-0.036187850,1.103069425,0.883925021,-0.140837997,-0.133961916
7,0.350000000,4,0.168718874,-0.038592435,1.100559592,0.882751107,-0.098791152,-0.117023960
7,0.350000000,5,0.186311677,-0.040121410,1.098332763,0.875756681,-0.053890467,-0.105661117
7,0.350000000,6,0.203726351,-0.040747911,1.096210599,0.865300119,-0.008973605,-0.106556468
7,0.350000000,7,0.220914483,-0.040497795,1.094034433,0.853412449,0.033343274,-0.111062653
7,0.350000000,8,0.237863690,-0.039446514,1.091786742,0.841610789,0.070828855,-0.113707058
7,0.350000000,9,0.254585683,-0.037706204,1.089538932,0.830787480,0.102090947,-0.111077778
7,0.350000000,10,0.271103323,-0.035407100,1.087414384,0.821144402,0.126728520,-0.101370044
7,0.350000000,11,0.287435383,-0.032676555,1.085561514,0.812026143,0.145463884,-0.083916649
7,0.350000000,12,0.303578585,-0.029616553,1.084008098,0.802073479,0.159921154,-0.071431249
7,0.350000000,13,0.319509506,-0.026301648,1.082662463,0.790821970,0.171036631,-0.063134573
7,0.350000000,14,0.335205734,-0.022795640,1.081479549,0.778680801,0.179057956,-0.055165067
7,0.350000000,15,0.350653380,-0.019158533,1.080451608,0.766005397,0.184185222,-0.047633722
7,0.350000000,16,0.365843773,-0.015445798,1.079569936,0.752976596,0.186664164,-0.040529806
7,0.350000000,17,0.380770832,-0.011707795,1.078826189,0.739686728,0.186756864,-0.033842035
7,0.350000000,18,0.395429909,-0.007989591,1.078212142,0.726186395,0.184728801,-0.027558725
7,0.350000000,19,0.409817159,-0.004330967,1.077719808,0.712508678,0.180842802,-0.021667864
7,0.350000000,20,0.423929304,-0.000766488,1.077341557,0.698681593,0.175357670,-0.016157091
7,0.350000000,21,0.437763691,0.002674442,1.077069879,0.684735656,0.168532014,-0.011013782
7,0.350000000,22,0.451318264,0.005967674,1.076897502,0.670710027,0.160635188,-0.006225160
7,0.350000000,23,0.464593619,0.009093108,1.076893330,0.656989098,0.151645243,0.005799178
7,0.350000000,24,0.477607131,0.012021030,1.076946497,0.644446194,0.140943289,-0.000476630
8,0.400000000,0,0.143023759,-0.035405405,1.107289791,0.918479443,-0.205628529,-0.044956364
8,0.400000000,1,0.161617249,-0.039641686,1.106175065,0.929766655,-0.224355832,-0.066512749
8,0.400000000,2,0.179513738,-0.044891786,1.104731798,0.840362608,-0.319949985,-0.077806547
8,0.400000000,3,0.194507420,-0.053420007,1.103473067,0.642611444,-0.561548769,-0.048069943
8,0.400000000,4,0.204674482,-0.068565875,1.102797985,0.362751752,-0.984494090,-0.019437080
8,0.400000000,5,0.208669722,-0.094007045,1.102660894,0.030118547,-1.588735819,0.005720302
8,0.400000000,6,0.205698594,-0.133159056,1.103031397,-0.330184162,-2.350095272,0.031317577
8,0.400000000,7,0.195404857,-0.188800871,1.103893042,-0.699486971,-3.230648041,0.054846056
8,0.400000000,8,0.177750111,-0.262883902,1.105180621,-1.064345121,-4.186689854,0.073906988
8,0.400000000,9,0.152928561,-0.356474191,1.106790662,-1.414648771,-5.174096584,0.087094083
8,0.400000000,10,0.121315397,-0.469778746,1.108628631,-1.742261410,-6.151434422,0.096704163
8,0.400000000,11,0.083433561,-0.602214336,1.110649347,-2.040497303,-7.081235409,0.105364703
8,0.400000000,12,0.039926540,-0.752491951,1.112814069,-2.303977489,-7.930463314,0.111110605
8,0.400000000,13,-0.008467204,-0.918710887,1.115061522,-2.528562069,-8.671055794,0.113638513
8,0.400000000,14,-0.060937159,-1.098460197,1.117332697,-2.711143494,-9.280031204,0.113488697
8,0.400000000,15,-0.116618790,-1.288918257,1.119580865,-2.849384785,-9.739249229,0.111332946
8,0.400000000,16,-0.174606711,-1.486946106,1.121769547,-2.941511869,-10.035078049,0.107527032
8,0.400000000,17,-0.233964711,-1.689175010,1.123867512,-2.986202002,-10.158087730,0.102273673
8,0.400000000,18,-0.293734133,-1.892086983,1.125847936,-2.982523203,-10.102787971,0.095761642
8,0.400000000,19,-0.352941215,-2.092092276,1.127687454,-2.929898739,-9.867418289,0.088195160
8,0.400000000,20,-0.410604119,-2.285602093,1.129367352,-2.828095675,-9.453873634,0.079793252
8,0.400000000,21,-0.465740234,-2.469103575,1.130873203,-2.677288055,-8.867880821,0.070788682
8,0.400000000,22,-0.517376065,-2.639241219,1.132195234,-2.478272676,-8.119674683,0.061425697
8,0.400000000,23,-0.564564466,-2.792922497,1.133329153,-2.233035564,-7.225672245,0.051957197
8,0.400000000,24,-0.606419325,-2.927472591,1.134302139,-1.945945024,-6.212185860,0.045343772
9,0.450000000,0,0.190944746,-0.046215117,1.106149316,0.979510903,-0.226945624,-0.002622309
9,0.450000000,1,0.210491404,-0.051009677,1.105359793,0.966147900,-0.263800353,-0.076314129
9,0.450000000,2,0.229013816,-0.057570681,1.103511453,0.869898856,-0.418410420,-0.108517908
9,0.450000000,3,0.244684502,-0.068902344,1.101476789,0.683614433,-0.745406866,-0.094953477
9,0.450000000,4,0.255917907,-0.088575207,1.099762797,0.430789232,-1.250628471,-0.076442711
9,0.450000000,5,0.261654854,-0.119957797,1.098421693,0.138208881,-1.910935760,-0.057665475
9,0.450000000,6,0.261333853,-0.165791705,1.097412944,-0.171711266,-2.688872814,-0.043203272
9,0.450000000,7,0.254783303,-0.228013501,1.096679807,-0.482402086,-3.542605877,-0.030111782
9,0.450000000,8,0.242111593,-0.307721138,1.096202016,-0.782169700,-4.430628300,-0.017673723
9,0.450000000,9,0.223625839,-0.405206442,1.095965266,-1.062567234,-5.314130306,-0.006006648
9,0.450000000,10,0.199781060,-0.520023167,1.095952749,-1.317097783,-6.158250332,0.004758524
9,0.450000000,11,0.171147361,-0.651072443,1.096122622,-1.540735841,-6.932671070,0.012233412
9,0.450000000,12,0.138380438,-0.796698272,1.096416831,-1.729921579,-7.612041950,0.017190246
9,0.450000000,13,0.102195494,-0.954786241,1.096788406,-1.882194400,-8.175803185,0.019967480
9,0.450000000,14,0.063348427,-1.122856259,1.097196460,-1.995914817,-8.607894897,0.020843508
