step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
0,0.000000000,0.000000000,0.000000000,1.100000000,0.000000000,0.000000000,0.000000000,0.000066377,-0.000000000,1.100011219,0.004900507,-0.000000000,0.000383370,0.586250000,0.000000000,0.000000000,0.586250000,0.000000000,0.000000000,0.800000000,0.000000000,0.000000000,1,3,0.000000000,1.390000000,0.936875000,1.000000000,0.000000000,0.000000000,0.453125000,0.453125000,0.000000000,1.289933623,center_box,active,0,False,,,,,,,
1,0.050000000,0.000066377,-0.000000000,1.100011219,0.004900507,-0.000000000,0.000383370,0.001187626,0.000000000,1.100243055,0.045687592,0.000000000,0.007518056,0.600000000,0.000000000,-0.000022437,0.600000000,0.000000000,-0.000022437,0.800000000,0.000000000,-0.001159450,1,3,0.000000000,1.391190436,0.936949402,0.999096592,-0.000000000,-0.042497068,0.407560099,0.454241034,0.000000000,1.288812374,center_box,active,0,False,,,,,,,
2,0.100000000,0.001187626,0.000000000,1.100243055,0.045687592,0.000000000,0.007518056,0.006137942,0.000000000,1.100997242,0.153521274,0.000000000,0.019475873,0.600000000,-0.000000000,-0.000486110,0.600000000,-0.000000000,-0.000486110,0.800000000,-0.000000000,-0.022869045,1,3,0.000000000,1.407587448,0.937974215,0.986661522,-0.000000000,-0.162785258,0.291681668,0.469613232,0.000000000,1.283862058,center_box,active,0,False,,,,,,,
3,0.150000000,0.006137942,0.000000000,1.100997242,0.153521274,0.000000000,0.019475873,0.017719110,0.000000000,1.101923622,0.300788613,0.000000000,0.016780860,0.600000000,-0.000000000,-0.001994485,0.600000000,-0.000000000,-0.001994485,0.800000000,-0.000000000,-0.061343880,1,3,0.000000000,1.407587448,0.937974215,0.986661522,-0.000000000,-0.162785258,0.291681668,0.464851716,0.000000000,1.272280890,center_box,held_active,1,False,,,,,,,
4,0.200000000,0.017719110,0.000000000,1.101923622,0.300788613,0.000000000,0.016780860,0.036910165,0.000000000,1.102418089,0.456072285,0.000000000,0.003376648,0.600000000,-0.000000000,-0.003847243,0.600000000,-0.000000000,-0.003847243,0.800000000,-0.000000000,-0.058937438,1,3,0.000000000,1.407587448,0.937974215,0.986661522,-0.000000000,-0.162785258,0.291681668,0.453575824,0.000000000,1.253089835,center_box,held_active,2,False,,,,,,,
5,0.250000000,0.036910165,0.000000000,1.102418089,0.456072285,0.000000000,0.003376648,0.064361481,-0.000005286,1.101831570,0.630517300,-0.000390202,-0.025616853,0.600000000,-0.000000000,-0.004836179,0.434721241,-0.007943966,-0.002694600,-0.061002985,-0.022697047,-0.017346424,1,3,0.000000000,1.407587448,0.937974215,0.986661522,-0.000000000,-0.162785258,0.291681668,0.434721241,0.009866888,1.225638519,center_box,held_active,3,False,,,,,,,
6,0.300000000,0.064361481,-0.000005286,1.101831570,0.630517300,-0.000390202,-0.025616853,0.100696677,-0.000069289,1.099736331,0.805350359,-0.001800966,-0.054671730,0.600000000,0.000004757,-0.003663139,0.407540607,-0.031689035,0.004346830,-0.637076266,-0.089425238,0.085610523,1,3,0.000000000,1.407587448,0.937974215,0.986661522,-0.000000000,-0.162785258,0.291681668,0.407540607,0.036904307,1.189303323,center_box,held_active,4,False,,,,,,,
7,0.350000000,0.100696677,-0.000069289,1.099736331,0.805350359,-0.001800966,-0.054671730,0.145096012,-0.000145665,1.096974161,0.949053570,-0.002653217,-0.053142958,0.600000000,0.000062361,0.000527337,0.600000000,0.000062361,0.000527337,-0.586715311,0.005323790,0.157711621,0,-1,,,,0.000000000,0.000000000,0.000000000,,,0.000000000,1.144903988,,stale_depth,0,False,,,,,,,
8,0.400000000,0.145096012,-0.000145665,1.096974161,0.949053570,-0.002653217,-0.053142958,0.194858643,-0.000774952,1.095483841,1.018855923,-0.023520362,-0.008084805,0.581663589,0.000131098,0.006051679,0.342266428,-0.085546099,0.028900680,-0.800000000,-0.236836806,0.234410396,1,3,0.000000000,1.271750857,0.929484429,0.978889836,-0.000550677,-0.204387832,0.260091350,0.342266428,0.083844282,1.095141357,center_box,active,0,False,,,,,,,
9,0.450000000,0.194858643,-0.000774952,1.095483841,1.018855923,-0.023520362,-0.008084805,0.245180133,-0.002503945,1.096379537,0.980261914,-0.040093561,0.039025542,0.552627221,0.000697457,0.009032319,0.270530958,-0.186957704,0.010831352,-0.800000000,-0.466963834,0.054046163,1,3,0.000000000,1.195233022,0.924702064,0.999923308,0.008086850,-0.009379842,0.455092925,0.270530958,0.143848360,1.044819867,center_box,active,0,False,,,,,,,
10,0.500000000,0.245180133,-0.002503945,1.096379537,0.980261914,-0.040093561,0.039025542,0.291456048,-0.004124922,1.098241611,0.871166769,-0.020864265,0.033802239,0.523087881,0.002253551,0.007240926,0.239217658,0.221606591,-0.026374715,-0.800000000,0.747714720,-0.186857875,1,3,0.000000000,1.161832169,0.922614511,0.985357350,-0.012337116,0.170054954,0.667283367,0.239217658,0.148256373,0.998543952,center_box,active,0,False,,,,,,,
11,0.550000000,0.291456048,-0.004124922,1.098241611,0.871166769,-0.020864265,0.033802239,0.331340817,-0.004286940,1.099049345,0.733077909,0.010821592,0.000546279,0.497189557,0.003712430,0.003516778,0.274809187,-0.112920586,-0.017541509,-0.800000000,-0.263018061,-0.146696420,1,1,-0.349065850,1.199796466,0.924987279,0.915608591,0.328538735,0.231782672,0.794867026,0.274809187,0.068140190,0.958659183,center_box,active,0,False,,,,,,,
12,0.600000000,0.331340817,-0.004286940,1.099049345,0.733077909,0.010821592,0.000546279,0.364188264,-0.003347833,1.098349010,0.596084451,0.019149402,-0.025217421,0.477043264,0.003858246,0.001901310,0.238156360,-0.169193629,-0.026133122,-0.800000000,-0.514329203,-0.076226859,1,1,-0.349065850,1.199796466,0.924987279,0.915608591,0.328538735,0.231782672,0.794867026,0.238156360,0.090713529,0.925811736,center_box,held_active,1,False,,,,,,,
13,0.650000000,0.364188264,-0.003347833,1.098349010,0.596084451,0.019149402,-0.025217421,0.391113379,-0.003362360,1.097017407,0.499511406,-0.024212438,-0.026618019,0.463230563,0.003013050,0.003301979,0.212009034,-0.216818579,-0.036464350,-0.800000000,-0.674194231,-0.032134084,1,3,0.000000000,1.060045172,0.848036138,0.967705682,0.081166888,0.238658017,0.826294151,0.212009034,0.124968554,0.898886621,center_box,active,0,False,,,,,,,
