step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
0,0.000000000,0.000000000,0.000000000,1.100000000,0.000000000,0.000000000,0.000000000,0.000067663,-0.000067055,1.100349545,0.005003341,-0.004941900,0.012840567,0.586250000,0.000000000,0.000000000,0.362500000,-0.250000000,0.037647120,0.800000000,-0.714285714,0.107563200,1,3,0.000000000,1.390000000,0.936875000,1.000000000,0.000000000,0.000000000,0.453125000,0.453125000,0.000000000,1.289932337,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.698233128,-2.946676731,1.128235340
1,0.050000000,0.000067663,-0.000067055,1.100349545,0.005003341,-0.004941900,0.012840567,0.001209930,-0.001046407,1.101428314,0.046434148,-0.035318680,0.028049655,0.600000000,0.000060350,-0.000699090,0.363548861,-0.250000000,0.027708849,0.800000000,-0.700165999,0.042480806,1,3,0.000000000,1.391398481,0.936962405,0.998946281,0.018886852,-0.041828400,0.408476539,0.454436076,0.000000000,1.288790070,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.654445171,-2.877689123,1.121131182
2,0.100000000,0.001209930,-0.001046407,1.101428314,0.046434148,-0.035318680,0.028049655,0.006223585,-0.003830058,1.103505394,0.155236530,-0.070646212,0.051115363,0.600000000,0.000941766,-0.002856628,0.375339917,-0.250000000,0.049770456,0.800000000,-0.613375201,0.062059433,1,3,0.000000000,1.407119889,0.937944993,0.986973520,0.010343346,-0.160549948,0.293523983,0.469174896,0.000000000,1.283776415,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.273177147,-2.613330841,1.138756156
3,0.150000000,0.006223585,-0.003830058,1.103505394,0.155236530,-0.070646212,0.051115363,0.017838892,-0.007733109,1.106086721,0.300247810,-0.081280429,0.051312028,0.600000000,0.003447052,-0.007010788,0.371671054,-0.250000000,0.040726793,0.618384355,-0.512439395,-0.029681629,1,3,0.000000000,1.407119889,0.937944993,0.986973520,0.010343346,-0.160549948,0.293523983,0.464588818,0.000000000,1.272161108,center_box,held_active,1,False,-2,2,0.000000000,0.000000000,1.461737156,-2.519383907,1.134050488
4,0.200000000,0.017838892,-0.007733109,1.106086721,0.300247810,-0.081280429,0.051312028,0.036700090,-0.012026246,1.108075866,0.441438595,-0.093114927,0.030194456,0.600000000,0.006959799,-0.012173442,0.362863696,-0.250000000,0.024467481,0.178902532,-0.482055916,-0.076698706,1,3,0.000000000,1.407119889,0.937944993,0.986973520,0.010343346,-0.160549948,0.293523983,0.453579620,0.000000000,1.253299910,center_box,held_active,2,False,-2,2,0.000000000,0.000000000,0.875250816,-2.585348845,1.124437332
5,0.250000000,0.036700090,-0.012026246,1.108075866,0.441438595,-0.093114927,0.030194456,0.062501945,-0.017740960,1.109057947,0.579198713,-0.136466421,0.010297795,0.600000000,0.010823622,-0.016151732,0.348262304,-0.250000000,0.018329609,-0.266217973,-0.448243066,-0.033899563,1,3,0.000000000,1.407119889,0.937944993,0.986973520,0.010343346,-0.160549948,0.293523983,0.435327880,0.000000000,1.227498055,center_box,held_active,3,False,-2,2,0.000000000,0.000000000,0.637692869,-2.418115139,1.121823072
6,0.300000000,0.062501945,-0.017740960,1.109057947,0.579198713,-0.136466421,0.010297795,0.095240647,-0.026011392,1.109014248,0.717314638,-0.188341979,-0.009764743,0.600000000,0.015966864,-0.018115895,0.328063132,-0.250000000,0.021344603,-0.717530230,-0.324381655,0.031562308,1,3,0.000000000,1.407119889,0.937944993,0.986973520,0.010343346,-0.160549948,0.293523983,0.410078915,0.000000000,1.194759353,center_box,held_active,4,False,-2,2,0.000000000,0.000000000,0.364496022,-2.069650888,1.125066400
7,0.350000000,0.095240647,-0.026011392,1.109014248,0.717314638,-0.188341979,-0.009764743,0.134286281,-0.036359749,1.108228452,0.827554195,-0.219778529,-0.018896919,0.600000000,0.023410253,-0.018028495,0.368756118,-0.182229448,0.009046909,-0.800000000,0.017464374,0.053747576,0,-1,,,,0.000000000,0.000000000,0.000000000,,,0.000000000,1.155713719,,stale_depth,0,False,-2,2,0.000000000,0.000000000,0.460794985,-0.014483120,1.088906884
8,0.400000000,0.134286281,-0.036359749,1.108228452,0.827554195,-0.219778529,-0.018896919,0.177258134,-0.048112175,1.107895699,0.872127549,-0.250442484,0.004814693,0.591392348,0.032723774,-0.016456904,0.290693814,-0.198826229,0.014598809,-0.800000000,0.059863714,0.095702081,1,2,-0.174532925,1.280539720,0.930033733,0.980612862,0.126342240,-0.149786694,0.311597194,0.350505988,0.000000000,1.112768997,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.081877686,-2.155245066,1.132016420
9,0.450000000,0.177258134,-0.048112175,1.107895699,0.872127549,-0.250442484,0.004814693,0.219657290,-0.062111834,1.108876860,0.812485977,-0.309171490,0.030054346,0.568467679,0.043300958,-0.015791398,0.215109769,-0.223244455,0.005069781,-0.800000000,0.077708655,0.000728825,1,2,-0.174532925,1.221553059,0.926347066,0.992786893,0.111389187,0.044346747,0.514957939,0.295205993,0.000000000,1.070551576,center_box,active,0,False,-2,2,0.000000000,0.000000000,0.276476234,-1.877908945,1.103867173
