step,t,x,y,z,vx,vy,vz,next_x,next_y,next_z,next_vx,next_vy,next_vz,nominal_vx,nominal_vy,nominal_vz,command_vx,command_vy,command_vz,accel_x,accel_y,accel_z,constraint_active,sector,azimuth_rad,depth_m,margin_m,a_x,a_y,a_z,b,current_slack_m,lookahead_violation_m,obstacle_clearance_m,obstacle_name,status,constraint_age_frames,gate_collision,admm_status,admm_iterations,admm_pri_res,admm_dua_res,admm_terminal_x,admm_terminal_y,admm_terminal_z
0,0.000000000,0.000000000,0.000000000,1.100000000,0.000000000,0.000000000,0.000000000,0.000067663,-0.000067055,1.100349545,0.005003341,-0.004941900,0.012840567,0.586250000,0.000000000,0.000000000,0.600000000,-0.250000000,0.037647120,0.800000000,-0.714285714,0.107563200,1,3,0.000000000,1.390000000,0.936875000,1.000000000,0.000000000,0.000000000,0.453125000,0.453125000,0.000000000,1.289932337,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.698233128,-2.946676731,1.128235340
1,0.050000000,0.000067663,-0.000067055,1.100349545,0.005003341,-0.004941900,0.012840567,0.001209930,-0.001046407,1.101428314,0.046434148,-0.035318680,0.028049655,0.600000000,0.000060350,-0.000699090,0.600000000,-0.250000000,0.027708849,0.800000000,-0.700165999,0.042480806,1,3,0.000000000,1.391398481,0.936962405,0.998946281,0.018886852,-0.041828400,0.408476539,0.454436076,0.000000000,1.288790070,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.654445171,-2.877689123,1.121131182
2,0.100000000,0.001209930,-0.001046407,1.101428314,0.046434148,-0.035318680,0.028049655,0.006223585,-0.003830058,1.103505394,0.155236530,-0.070646212,0.051115363,0.600000000,0.000941766,-0.002856628,0.600000000,-0.250000000,0.049770456,0.800000000,-0.613375201,0.062059433,1,3,0.000000000,1.407119889,0.937944993,0.986973520,0.010343346,-0.160549948,0.293523983,0.469174896,0.000000000,1.283776415,center_box,active,0,False,-2,2,0.000000000,0.000000000,2.273177147,-2.613330841,1.138756156
3,0.150000000,0.006223585,-0.003830058,1.103505394,0.155236530,-0.070646212,0.051115363,0.017853139,-0.007734639,1.106136201,0.300779419,-0.081330575,0.053136814,0.600000000,0.003447052,-0.007010788,0.600000000,-0.250000000,0.040726793,0.800000000,-0.512439395,-0.029681629,1,3,0.000000000,1.407119889,0.937944993,0.986973520,0.010343346,-0.160549948,0.293523983,0.464588818,0.000000000,1.272146861,center_box,held_active,1,False,-2,2,0.000000000,0.000000000,1.461737156,-2.519383907,1.134050488
4,0.200000000,0.017853139,-0.007734639,1.106136201,0.300779419,-0.081330575,0.053136814,0.036878997,-0.012029560,1.108386810,0.449993528,-0.092935584,0.037387547,0.600000000,0.006961175,-0.012272402,0.600000000,-0.250000000,0.024841947,0.800000000,-0.481912643,-0.080842477,1,3,0.000000000,1.407119889,0.937944993,0.986973520,0.010343346,-0.160549948,0.293523983,0.453573519,0.000000000,1.253121003,center_box,held_active,2,False,-2,2,0.000000000,0.000000000,0.873949945,-2.585030556,1.124767661
5,0.250000000,0.036878997,-0.012029560,1.108386810,0.449993528,-0.092935584,0.037387547,0.064020057,-0.017663084,1.109668353,0.624520478,-0.133245840,0.014142586,0.600000000,0.010826604,-0.016773620,0.600000000,-0.250000000,0.019993867,0.428589919,-0.448755474,-0.049696228,1,3,0.000000000,1.407119889,0.937944993,0.986973520,0.010343346,-0.160549948,0.293523983,0.435201260,0.000000000,1.225979943,center_box,held_active,3,False,-2,2,0.000000000,0.000000000,0.532586336,-2.438123941,1.123382211
6,0.300000000,0.064020057,-0.017663084,1.109668353,0.624520478,-0.133245840,0.014142586,0.099937924,-0.025651578,1.109478932,0.794232416,-0.180680067,-0.017526544,0.600000000,0.015896776,-0.019336706,0.050000000,-0.250000000,0.025574871,-0.800000000,-0.333583313,0.032663672,1,3,0.000000000,1.407119889,0.937944993,0.986973520,0.010343346,-0.160549948,0.293523983,0.408677773,0.000000000,1.190062076,center_box,held_active,4,False,-2,2,0.000000000,0.000000000,-0.082250498,-2.084531546,1.128849506
7,0.350000000,0.099937924,-0.025651578,1.109478932,0.794232416,-0.180680067,-0.017526544,0.143335850,-0.035459742,1.107981487,0.921259603,-0.205848977,-0.037787380,0.600000000,0.023086420,-0.018957865,0.516675620,0.026022716,-0.028673784,-0.793019416,0.590579381,-0.031849257,0,-1,,,,0.000000000,0.000000000,0.000000000,,,0.000000000,1.146664150,,stale_depth,0,False,-2,2,0.000000000,0.000000000,0.487444639,-0.006134541,1.087973595
8,0.400000000,0.143335850,-0.035459742,1.107981487,0.921259603,-0.205848977,-0.037787380,0.191400517,-0.046258261,1.107067215,0.983692187,-0.226283975,-0.000420794,0.583247735,0.031913768,-0.015962974,0.050000000,-0.250000000,0.033370914,-0.800000000,-0.126145779,0.203309411,1,2,-0.174532925,1.274496140,0.929656009,0.978162358,0.113420200,-0.174167331,0.288049835,0.344840131,0.000000000,1.098615821,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.446522981,-2.240775347,1.133009672
9,0.450000000,0.191400517,-0.046258261,1.107067215,0.983692187,-0.226283975,-0.000420794,0.240920059,-0.058630221,1.107789136,0.991346424,-0.268452322,0.026860769,0.555739535,0.041632435,-0.014134430,0.050000000,-0.250000000,0.009682672,-0.800000000,-0.067760071,0.028867045,1,2,-0.174532925,1.205635824,0.925352239,0.994163792,0.099927346,-0.040655624,0.420936075,0.280283585,0.000000000,1.049230959,center_box,active,0,False,-2,2,0.000000000,0.000000000,-0.180550694,-2.048187971,1.114329219
